	gold	prediction	proportion
125	ʊ	iː	0.0014
126	tː	t	0.0014
127	uː	-	0.0014
128	ʊ	j	0.0014
129	ɛ	kʰ	0.0014
130	ʊ	ɛu	0.0014
131	p	pː	0.0014
132	s	n	0.0014
133	iː	eː	0.0014
134	t	s	0.0014
135	r	d	0.0014
136	m	r	0.0014
137	aʊ	ɔ	0.0014
138	p	b	0.0012
139	r	t	0.0012
140	-	eː	0.0012
141	ɛu	ɛ	0.0012
142	uː	ɔ	0.0012
143	ɛ	m	0.0012
144	ŋ	-	0.0012
145	t	tː	0.0012
146	l	j	0.0012
147	-	w	0.0012
148	k	n	0.0012
149	d	s	0.0012
150	-	ɔ	0.0012
151	s	t	0.0012
152	aɪ	-	0.0012
153	aː	oː	0.001
154	k	ɛ	0.001
155	t	n	0.001
156	j	r	0.001
157	m	a	0.001
158	ɛ	n	0.001
159	-	iː	0.001
160	m	j	0.001
161	m	mː	0.001
162	l	k	0.001
163	aʊ	oː	0.001
164	ɔ	uː	0.001
165	a	ɪ	0.001
166	r	j	0.001
167	n	t	0.001
168	bː	b	0.001
169	ɪ	ʊ	0.001
170	-	oː	0.001
171	ʊ	ʊː	0.001
172	r	n	0.001
173	r	aː	0.001
174	d	r	0.001
175	b	r	0.001
176	ɪ	g	0.001
177	p	k	0.001
178	-	d	0.0008
179	iː	aː	0.0008
180	aɪ	ɪ	0.0008
181	a	m	0.0008
182	-	h	0.0008
183	h	ɪ	0.0008
184	k	ɪ	0.0008
185	ɔ	ɛ	0.0008
186	aː	r	0.0008
187	zː	d	0.0008
188	r	rː	0.0008
189	eː	a	0.0008
190	ʊ	h	0.0008
191	n	s	0.0008
192	aː	j	0.0008
193	k	r	0.0008
194	r	s	0.0008
195	oː	-	0.0008
196	n	l	0.0008
197	-	g	0.0008
198	-	ŋ	0.0008
199	ɛ	ɔ	0.0008
200	uː	ɪ	0.0008
201	gʷ	g	0.0008
202	a	j	0.0008
203	-	ɛu	0.0008
204	r	k	0.0006
205	j	s	0.0006
206	d	k	0.0006
207	kʷ	gʷ	0.0006
208	k	kʷ	0.0006
209	j	l	0.0006
210	-	uː	0.0006
211	t	tʰ	0.0006
212	d	dː	0.0006
213	j	k	0.0006
214	ɛ	s	0.0006
215	m	ʊ	0.0006
216	b	k	0.0006
217	ʊː	ʊ	0.0006
218	h	k	0.0006
219	j	ɛ	0.0006
220	ɪ	a	0.0006
221	w	ʊː	0.0006
222	l	ɛ	0.0006
223	ɪ	n	0.0006
224	tː	tʰ	0.0006
225	ʊ	aː	0.0006
226	ŋ	m	0.0006
227	t	ɪ	0.0006
228	aː	ɪ	0.0006
229	a	ɔ	0.0006
230	oː	uː	0.0006
231	a	r	0.0006
232	m	k	0.0006
233	l	n	0.0006
234	ɪ	ɔ	0.0006
235	p	w	0.0006
236	ɛu	j	0.0006
237	d	g	0.0004
238	ʊ	eː	0.0004
239	eːa	-	0.0004
240	t	aː	0.0004
241	f	fː	0.0004
242	sː	k	0.0004
243	aː	iː	0.0004
244	n	rː	0.0004
245	ɛ	t	0.0004
246	r	eː	0.0004
247	ɔ	r	0.0004
248	-	b	0.0004
249	eː	kʰ	0.0004
250	ɛu	iː	0.0004
251	l	m	0.0004
252	ɪ	aɪ	0.0004
253	-	lː	0.0004
254	iː	t	0.0004
255	m	ŋ	0.0004
256	iː	a	0.0004
257	k	aː	0.0004
258	ʊ	m	0.0004
259	ɪ	aː	0.0004
260	l	g	0.0004
261	d	z	0.0004
262	ɛ	oː	0.0004
263	g	z	0.0004
264	iː	ʊ	0.0004
265	ʊ	aʊ	0.0004
266	ɛu	a	0.0004
267	oː	aː	0.0004
268	d	l	0.0004
269	j	t	0.0004
270	h	rː	0.0004
271	n	j	0.0004
272	l	ɪ	0.0004
273	k	ŋ	0.0004
274	ʊ	k	0.0004
275	a	h	0.0004
276	aː	p	0.0004
277	iː	oː	0.0004
278	j	ɛu	0.0004
279	aː	zː	0.0004
280	aʊ	a	0.0004
281	d	m	0.0004
282	m	t	0.0004
283	d	sː	0.0004
284	-	p	0.0004
285	ɛu	eː	0.0004
286	aʊ	ʊ	0.0004
287	w	n	0.0004
288	ʊ	r	0.0004
289	b	ɪ	0.0004
290	dː	d	0.0004
291	d	j	0.0004
292	s	g	0.0004
293	ʊ	ŋ	0.0004
294	-	sː	0.0004
295	w	ɔ	0.0004
296	b	ɛ	0.0004
297	a	s	0.0004
298	ɪ	l	0.0004
299	y	-	0.0004
300	ɪ	b	0.0004
301	uː	a	0.0004
302	oː	ɛ	0.0004
303	lː	k	0.0004
304	w	oː	0.0004
305	ʊ	l	0.0004
306	iː	k	0.0004
307	uː	aʊ	0.0004
308	n	ɪ	0.0004
309	aː	ʊ	0.0004
310	ɛ	ɛu	0.0004
311	uː	oː	0.0004
312	kʷ	g	0.0004
313	t	sː	0.0004
314	p	r	0.0004
315	pʰ	m	0.0002
316	oː	j	0.0002
317	ʊ	w	0.0002
318	aʊ	l	0.0002
319	eː	j	0.0002
320	n	ɛ	0.0002
321	t	j	0.0002
322	a	n	0.0002
323	n	aː	0.0002
324	ɪ	d	0.0002
325	w	ɪ	0.0002
326	n	w	0.0002
327	l	ʊ	0.0002
328	f	pʰ	0.0002
329	ɛ	g	0.0002
330	w	ʊ	0.0002
331	j	a	0.0002
332	ŋ	k	0.0002
333	w	f	0.0002
334	aː	d	0.0002
335	r	a	0.0002
336	eːa	ɛ	0.0002
337	k	tː	0.0002
338	d	p	0.0002
339	a	ɛu	0.0002
340	g	ʊ	0.0002
341	s	ɔ	0.0002
342	ɔ	k	0.0002
343	iː	m	0.0002
344	g	n	0.0002
345	kː	ɪ	0.0002
346	eː	l	0.0002
347	s	aː	0.0002
348	aʊ	-	0.0002
349	f	r	0.0002
350	w	l	0.0002
351	oː	aʊ	0.0002
352	ŋ	g	0.0002
353	r	sː	0.0002
354	f	-	0.0002
355	a	aɪ	0.0002
356	g	t	0.0002
357	t	oː	0.0002
358	oː	r	0.0002
359	eː	oː	0.0002
360	y	aː	0.0002
361	eː	b	0.0002
362	uː	eː	0.0002
363	tʰ	s	0.0002
364	n	nː	0.0002
365	w	ɛ	0.0002
366	l	w	0.0002
367	b	l	0.0002
368	j	n	0.0002
369	d	b	0.0002
370	l	t	0.0002
371	ɔ	ɪ	0.0002
372	rː	t	0.0002
373	j	h	0.0002
374	b	m	0.0002
375	t	b	0.0002
376	ɛ	h	0.0002
377	lː	-	0.0002
378	oː	l	0.0002
379	j	b	0.0002
380	t	g	0.0002
381	h	eː	0.0002
382	aɪ	r	0.0002
383	w	j	0.0002
384	aː	t	0.0002
385	w	d	0.0002
386	ɛ	d	0.0002
387	eː	k	0.0002
388	w	m	0.0002
389	oː	h	0.0002
390	d	n	0.0002
391	eː	d	0.0002
392	r	g	0.0002
393	ɔː	ɔ	0.0002
394	lː	n	0.0002
395	aɪ	kʰ	0.0002
396	ɛ	l	0.0002
397	iː	ɛu	0.0002
398	m	sː	0.0002
399	j	d	0.0002
400	m	g	0.0002
401	sː	g	0.0002
402	ɔ	aʊ	0.0002
403	g	r	0.0002
404	m	kʷ	0.0002
405	kʷ	ɛ	0.0002
406	ɛu	ɔ	0.0002
407	r	b	0.0002
408	r	h	0.0002
409	l	f	0.0002
410	d	h	0.0002
411	-	kʰ	0.0002
412	d	mː	0.0002
413	l	s	0.0002
414	s	l	0.0002
415	s	ŋ	0.0002
416	ɔ	a	0.0002
417	a	k	0.0002
418	g	l	0.0002
419	ɪ	h	0.0002
420	s	ʊ	0.0002
421	lː	r	0.0002
422	t	ɛ	0.0002
423	aː	b	0.0002
424	ɪ	t	0.0002
425	ɪ	m	0.0002
426	ɔː	oː	0.0002
427	y	ɔ	0.0002
428	h	lː	0.0002
429	p	ɛ	0.0002
430	a	eː	0.0002
431	r	ɔ	0.0002
432	g	aː	0.0002
433	aː	l	0.0002
434	ɪ	y	0.0002
435	kʰ	g	0.0002
436	pʰ	r	0.0002
437	j	f	0.0002
438	ɛu	ɪ	0.0002
439	g	h	0.0002
440	ɛu	h	0.0002
441	y	j	0.0002
442	g	m	0.0002
443	l	ŋ	0.0002
444	a	zː	0.0002
445	rː	ɔ	0.0002
446	ʊː	w	0.0002
447	kʷ	kː	0.0002
448	ɪ	lː	0.0002
449	lː	j	0.0002
450	a	iː	0.0002
451	t	rː	0.0002
452	y	ʊ	0.0002
453	y	mː	0.0002
454	fː	pʰ	0.0002
455	kʷ	w	0.0002
456	w	s	0.0002
457	uː	r	0.0002
458	pʰ	k	0.0002
459	m	p	0.0002
460	p	l	0.0002
461	l	aː	0.0002
462	n	g	0.0002
463	b	g	0.0002
464	oː	s	0.0002
465	oː	ɪ	0.0002
466	sː	n	0.0002
467	ɛ	uː	0.0002
468	kʰ	ŋ	0.0002
469	n	ʊ	0.0002
470	j	z	0.0002
471	l	d	0.0002
472	aɪ	h	0.0002
473	g	ɛ	0.0002
474	oː	t	0.0002
475	g	eː	0.0002
476	ɔ	aː	0.0002
477	k	j	0.0002
478	ɔ	h	0.0002
479	eːa	a	0.0002
480	w	g	0.0002
481	ɛ	b	0.0002
482	h	r	0.0002
483	iː	y	0.0002
484	j	aː	0.0002
485	sː	m	0.0002
486	ɔ	iː	0.0002
487	rː	d	0.0002
488	b	f	0.0002
489	t	p	0.0002
490	aː	g	0.0002
491	ʊː	aː	0.0002
492	r	lː	0.0002
493	m	aː	0.0002
494	m	h	0.0002
495	gː	r	0.0002
496	-	z	0.0002
497	pʰ	p	0.0002
498	h	g	0.0002
499	aɪ	a	0.0002
500	g	d	0.0002
501	aː	aʊ	0.0002
502	h	ɛ	0.0002
503	ɛu	m	0.0002
504	sː	t	0.0002
505	yː	k	0.0002
506	h	j	0.0002
507	y	ɛ	0.0002
508	iː	n	0.0002
509	s	h	0.0002
510	m	oː	0.0002
511	m	ɔ	0.0002
512	k	p	0.0002
513	a	aʊ	0.0002
514	w	r	0.0002
515	l	p	0.0002
