	gold	prediction	proportion
98	ʊ	uː	0.0027
99	-	n	0.0026
100	⁵⁵	¹¹	0.0026
101	o	ɔ	0.0026
102	ˀj	j	0.0025
103	ui	u	0.0025
104	k	-	0.0025
105	ɛ	-	0.0025
106	a	u	0.0024
107	ɛ	e	0.0024
108	o	-	0.0024
109	³	⁵	0.0024
110	a	æ	0.0024
111	o	i	0.0023
112	tʃ	ts	0.0023
113	a	r	0.0022
114	r	k	0.0022
115	ɛ	i	0.0021
116	-	ts	0.0021
117	ɨ	-	0.0021
118	p	s	0.0021
119	w	k	0.0021
120	h	r	0.0021
121	ɨ	e	0.0021
122	ɨ	a	0.0021
123	h	u	0.0021
124	p	pʰ	0.0021
125	o	ŋ	0.0021
126	iː	ɛ	0.0021
127	¹	ŋ	0.002
128	ɛ	ɛ̠	0.002
129	a	a̠	0.002
130	ɪ	ɛ	0.002
131	-	m	0.002
132	u	i	0.0019
133	²	-	0.0019
134	j	n	0.0019
135	ɣ	q	0.0019
136	u	ɯ	0.0019
137	e	-	0.0019
138	⁵	³	0.0019
139	ɨ	ə	0.0019
140	t	ʔ̚	0.0019
141	r̥	r	0.0019
142	u	ou	0.0019
143	k̚	ʔ	0.0019
144	ɪ	-	0.0019
145	k	ŋ	0.0018
146	u	ɨ	0.0018
147	ɔ	ʊ	0.0018
148	k	ˀk	0.0017
149	k	p	0.0017
150	ˀtʃ	dʒ	0.0017
151	ʊ	u	0.0017
152	dz	dʒ	0.0017
153	ˀt	d	0.0017
154	ˀk	k	0.0017
155	ˀr	ʃ	0.0017
156	³	ŋ	0.0017
157	²	ŋ	0.0017
158	i	e	0.0017
159	m	ˀm	0.0016
160	e	e̠	0.0016
161	l	ˀl	0.0016
162	kʰ	-	0.0016
163	ʊ	ɔ	0.0016
164	m	ŋ	0.0015
165	ɛ	o	0.0015
166	pʰ	p	0.0014
167	dʑ	d	0.0014
168	ɯ̃	ɯ	0.0014
169	⁵	⁴	0.0014
170	ø	o	0.0014
171	m	n	0.0014
172	-	ʊ	0.0014
173	³	⁴	0.0013
174	l	w	0.0013
175	ou	ɨ	0.0013
176	t̚	ʔ̚	0.0013
177	ʔ	ʔ̚	0.0013
178	ŋ	ɴ	0.0013
179	u	w	0.0013
180	ə	a	0.0013
181	ɔ	ə	0.0013
182	ɴ	m	0.0013
183	u	r	0.0013
184	t	-	0.0013
185	ˀm	m	0.0012
186	e	j	0.0012
187	o	a	0.0012
188	¹	⁵⁵	0.0012
189	e̠	e	0.0012
190	e̠	i̠	0.0012
191	b	p	0.0012
192	ɛ	iː	0.0011
193	kʰ	k	0.0011
194	lː	l	0.0011
195	n	n̩	0.001
196	a	o̠	0.001
197	i̠	ɨ	0.001
198	ʒ	z	0.001
199	i̠	i	0.001
200	ɨ̠	ɨ	0.001
201	tʃʰ	kʰ	0.001
202	a	ɔ	0.001
203	eː	ɪ	0.001
204	ŋ	m	0.0009
205	j	l	0.0009
206	ɣ	g	0.0009
207	kʰ	g	0.0009
208	⁴	⁵	0.0009
209	tɕ	ts	0.0009
210	⁴	ŋ	0.0009
211	ʁ	ŋ	0.0009
212	sʰ	ʂ	0.0009
213	j	u	0.0009
214	r	tsʰ	0.0009
215	i	ɛ	0.0009
216	t	r	0.0009
217	aɪ	eː	0.0009
218	aː	-	0.0009
219	sː	s	0.0009
220	aɪ	ɛ	0.0009
221	k	m	0.0008
222	ˀn	j	0.0008
223	tʃ	dʒ	0.0008
224	ˀts	tʃ	0.0008
225	ˀɲ	ŋ	0.0008
226	ˀts	dz	0.0008
227	i	ai	0.0008
228	ɲ	j	0.0008
229	u	ai	0.0008
230	dz	m	0.0008
231	ui	i	0.0008
232	s	ʃ	0.0008
233	dz	b	0.0008
234	ʔ	m	0.0008
235	d	dz	0.0008
236	ˀts	s	0.0008
237	ˀt	ˀk	0.0008
238	-	³	0.0008
239	g	ˀk	0.0008
240	d	ˀt	0.0008
241	a	ɛ̠	0.0008
242	ɣ	s	0.0008
243	y̠	y	0.0008
244	ɨ̠	i̠	0.0008
245	ɲ	n	0.0008
246	e	i̠	0.0008
247	k	kʰ	0.0008
248	b	-	0.0008
249	r	s	0.0008
250	ɪ	eː	0.0008
251	nː	n	0.0008
252	s	-	0.0008
253	ɪ	j	0.0008
254	d	t	0.0007
255	i	o	0.0007
256	ts	k	0.0007
257	s	ts	0.0007
258	r	m	0.0007
259	kʷ	k	0.0007
260	l	-	0.0007
261	oː	ʊ	0.0007
262	y	ɪ	0.0007
263	ɛ	aː	0.0007
264	ʊ	oː	0.0007
265	ʊ	ɛ	0.0007
266	j	g	0.0007
267	tʰ	t	0.0007
268	e̠	ɛ̠	0.0006
269	ɛ	ɨ	0.0006
270	u	a̠	0.0006
271	o̠	a	0.0006
272	ɛ	e̠	0.0006
273	ɨ	ɨ̠	0.0006
274	u	o̠	0.0006
275	i	u̠	0.0006
276	³³	³	0.0006
277	u	u̠	0.0006
278	ɛ̠	e	0.0006
279	o̠	u	0.0006
280	dʒ	dz	0.0006
281	y	i	0.0006
282	ei	e	0.0006
283	ˀb	p	0.0006
284	-	ə	0.0006
285	n̥	ˀn	0.0006
286	-	ʔ	0.0006
287	¹¹	⁵¹	0.0006
288	kʰ	cʰ	0.0006
289	i	ei	0.0006
290	p	ˀb	0.0006
291	m	ɴ	0.0006
292	ʔ̚	-	0.0006
293	³³	¹¹	0.0006
294	ʔ̚	¹¹	0.0006
295	ˀb	b	0.0006
296	k̚	g	0.0006
297	ə	i	0.0006
298	⁰	⁵⁵	0.0006
299	u	ə	0.0006
300	au	o	0.0006
301	t̚	b	0.0006
302	k	w	0.0006
303	t̚	p	0.0006
304	⁵⁵	⁵¹	0.0006
305	-	ʔ̚	0.0006
306	³³	⁵¹	0.0006
307	ŋ̊	ŋ	0.0006
308	-	ɴ	0.0006
309	-	⁵¹	0.0006
310	ei	i	0.0006
311	c	cʰ	0.0006
312	kʰ	s	0.0006
313	r	w	0.0006
314	ou	-	0.0006
315	j	i	0.0006
316	au	ɔ	0.0006
317	ɨ	o	0.0006
318	ŋ	ɲ̊	0.0006
319	ai	e	0.0006
320	ɛi	e	0.0006
321	-	ɪ	0.0006
322	ʊ	ɪ	0.0006
323	pʰ	f	0.0006
324	-	t	0.0006
325	k	t	0.0006
326	rː	r	0.0006
327	ɛ	ʊ	0.0006
328	aː	ɛ	0.0006
329	k	s	0.0005
330	r	o	0.0005
331	ã	o	0.0005
332	²	⁴	0.0005
333	u	j	0.0005
334	¹	-	0.0005
335	o	æ	0.0005
336	i	ɯ	0.0005
337	³³	²	0.0005
338	u	æ	0.0005
339	ɯ	-	0.0005
340	dʑ	ts	0.0005
341	ɯ	ɯ̃	0.0005
342	r	ɯ	0.0005
343	ʈ	ts	0.0005
344	t	q	0.0005
345	ɕ	sʰ	0.0005
346	¹	n	0.0005
347	-	tʰ	0.0005
348	tɕ	j	0.0005
349	t	tʲ	0.0005
350	e	n	0.0005
351	kʰ	qʰ	0.0005
352	ɯ̃	ŋ	0.0005
353	²¹	¹	0.0005
354	ə	e	0.0005
355	-	o	0.0005
356	d	tʲ	0.0005
357	ɖʐ	tsʰ	0.0005
358	ʈ	-	0.0005
359	tsʲʰ	tɕʰ	0.0005
360	-	e	0.0005
361	h	χ	0.0005
362	j	o	0.0005
363	tɕ	k	0.0005
364	b	j	0.0005
365	j	æ	0.0005
366	o	n	0.0005
367	ts	tʲ	0.0005
368	ɖʐ	d	0.0005
369	⁴	³	0.0005
370	æ	a	0.0005
371	æ	o	0.0005
372	ɯ̃	i	0.0005
373	ɖʐ	z	0.0005
374	tsʰ	tʰ	0.0005
375	¹	⁵	0.0005
376	tʲ	d	0.0005
377	b	w	0.0005
378	mː	m	0.0005
379	eː	-	0.0005
380	eː	iː	0.0005
381	kː	k	0.0005
382	-	s	0.0005
383	ɔ	-	0.0005
384	p	-	0.0005
385	w	b	0.0005
386	s	m	0.0005
387	o̠	ɨ̠	0.0004
388	e̠	a	0.0004
389	i	²	0.0004
390	v	b	0.0004
391	tsʰ	z	0.0004
392	a	e̠	0.0004
393	tsʰ	tʃʰ	0.0004
394	j	a	0.0004
395	e̠	ɛ	0.0004
396	ˀx	x	0.0004
397	f	pʰ	0.0004
398	y	o	0.0004
399	i	u	0.0004
400	²	²¹	0.0004
401	t	tʃʰ	0.0004
402	tʰ	tʃʰ	0.0004
403	ɛ̠	e̠	0.0004
404	tʃʰ	ts	0.0004
405	o	ɨ̠	0.0004
406	kʰ	x	0.0004
407	ɿ	ɨ	0.0004
408	y	ɛ	0.0004
409	ɿ	u	0.0004
410	ʒ	ɣ	0.0004
411	e̠	u	0.0004
412	y	e	0.0004
413	pʰ	ˀv	0.0004
414	e	ɛ̠	0.0004
415	o	ɨ	0.0004
416	u	e̠	0.0004
417	a	y	0.0004
418	h	s	0.0004
419	u̠	o	0.0004
420	x	g	0.0004
421	tsʰ	s	0.0004
422	ɛ	aɪ	0.0004
423	m	s	0.0004
424	g	-	0.0004
425	aː	eː	0.0004
426	-	l	0.0004
427	ɛ	r	0.0004
428	s	ɛ	0.0004
429	d	-	0.0004
430	s	k	0.0004
431	ɛu	ʊ	0.0004
432	a	ʊ	0.0004
433	ʊ	a	0.0004
434	eː	aː	0.0004
435	s	r	0.0004
436	pː	p	0.0003
437	m	ɛ	0.0003
438	s	sː	0.0003
439	n	r	0.0003
440	l	lː	0.0003
441	r	l	0.0003
442	ɛ	j	0.0003
443	uː	h	0.0003
444	r	ɛ	0.0003
445	-	aː	0.0003
446	m	l	0.0003
447	y	iː	0.0003
448	g	k	0.0003
449	ɪ	k	0.0003
450	ɛ	k	0.0003
451	eː	aɪ	0.0003
452	l	r	0.0003
453	g	j	0.0003
454	gː	g	0.0003
455	j	ɪ	0.0003
456	k	kː	0.0003
457	tʃʰ	g	0.0002
458	u	ɨ̠	0.0002
459	y	u̠	0.0002
460	ɨ	o̠	0.0002
461	k	j	0.0002
462	i	ŋ	0.0002
463	³	-	0.0002
464	ˀŋ	ɲ	0.0002
465	ɛ	a̠	0.0002
466	y	a	0.0002
467	g	s	0.0002
468	j	o̠	0.0002
469	u	-	0.0002
470	y	ɨ̠	0.0002
471	y̠	ɛ̠	0.0002
472	kʰ	tʃʰ	0.0002
473	o̠	y	0.0002
474	k	ts	0.0002
475	o̠	ɨ	0.0002
476	p	ˀv	0.0002
477	a̠	ɛ	0.0002
478	ˀx	ɣ	0.0002
479	a	o	0.0002
480	k	tsʰ	0.0002
481	tsʰ	g	0.0002
482	i̠	ɨ̠	0.0002
483	ŋ	j	0.0002
484	k	tʃ	0.0002
485	ɣ	h	0.0002
486	ɛ̠	o	0.0002
487	ɛ̠	a	0.0002
488	d	tʃʰ	0.0002
489	-	²	0.0002
490	i̠	e	0.0002
491	dʒ	x	0.0002
492	i	e̠	0.0002
493	ɨ	a̠	0.0002
494	tʰ	dz	0.0002
495	y̠	a	0.0002
496	e̠	-	0.0002
497	pʰ	b	0.0002
498	o	o̠	0.0002
499	a̠	ɛ̠	0.0002
500	i̠	e̠	0.0002
501	i̠	u	0.0002
502	e	u	0.0002
503	dʒ	tʃ	0.0002
504	ɨ̠	o	0.0002
505	e̠	i	0.0002
506	ʒ	ts	0.0002
507	i̠	o̠	0.0002
508	tsʰ	t	0.0002
509	x	s	0.0002
510	g	kʰ	0.0002
511	i	a̠	0.0002
512	k	x	0.0002
513	e̠	o	0.0002
514	d	tʰ	0.0002
515	ɛ̠	ɛ	0.0002
516	ɛ̠	a̠	0.0002
517	n	ˀn	0.0002
518	i	y	0.0002
519	dz	g	0.0002
520	x	z	0.0002
521	u̠	o̠	0.0002
522	s	h	0.0002
523	i̠	u̠	0.0002
524	z	s	0.0002
525	u	ɛ	0.0002
526	z	ts	0.0002
527	v	p	0.0002
528	h	ʃ	0.0002
529	dz	tsʰ	0.0002
530	b	pʰ	0.0002
531	ˀx	h	0.0002
532	h	x	0.0002
533	o	e	0.0002
534	d	tʃ	0.0002
535	ɣ	dz	0.0002
536	d	tsʰ	0.0002
537	i	ɨ̠	0.0002
538	tsʰ	ts	0.0002
539	t	ts	0.0002
540	dz	ts	0.0002
541	v	pʰ	0.0002
542	y	a̠	0.0002
543	o̠	i̠	0.0002
544	o̠	o	0.0002
545	y̠	-	0.0002
546	³³	¹	0.0002
547	y̠	o	0.0002
548	k	dz	0.0002
549	u̠	a	0.0002
550	y̠	ɨ	0.0002
551	dʒ	ts	0.0002
552	x	ɣ	0.0002
553	ɛ̠	u	0.0002
554	ʒ	s	0.0002
555	u	y	0.0002
556	kʰ	tsʰ	0.0002
557	a̠	-	0.0002
558	ˀɲ	ˀn	0.0002
559	iː	-	0.0002
560	iː	j	0.0002
561	ʊ	iː	0.0002
562	tː	t	0.0002
563	uː	-	0.0002
564	ʊ	j	0.0002
565	ɛ	kʰ	0.0002
566	ʊ	ɛu	0.0002
567	p	pː	0.0002
568	s	n	0.0002
569	iː	eː	0.0002
570	t	s	0.0002
571	r	d	0.0002
572	m	r	0.0002
573	aʊ	ɔ	0.0002
574	r	t	0.0002
575	-	eː	0.0002
576	ɛu	ɛ	0.0002
577	uː	ɔ	0.0002
578	ɛ	m	0.0002
579	t	tː	0.0002
580	l	j	0.0002
581	k	n	0.0002
582	d	s	0.0002
583	-	ɔ	0.0002
584	s	t	0.0002
585	aɪ	-	0.0002
586	aː	oː	0.0002
587	k	ɛ	0.0002
588	t	n	0.0002
589	m	a	0.0002
590	ɛ	n	0.0002
591	-	iː	0.0002
592	m	j	0.0002
593	m	mː	0.0002
594	l	k	0.0002
595	aʊ	oː	0.0002
596	ɔ	uː	0.0002
597	a	ɪ	0.0002
598	n	t	0.0002
599	bː	b	0.0002
600	ɪ	ʊ	0.0002
601	-	oː	0.0002
602	ʊ	ʊː	0.0002
603	r	n	0.0002
604	r	aː	0.0002
605	d	r	0.0002
606	b	r	0.0002
607	ɪ	g	0.0002
608	p	k	0.0002
609	-	d	0.0001
610	iː	aː	0.0001
611	aɪ	ɪ	0.0001
612	a	m	0.0001
613	h	ɪ	0.0001
614	k	ɪ	0.0001
615	ɔ	ɛ	0.0001
616	aː	r	0.0001
617	zː	d	0.0001
618	r	rː	0.0001
619	eː	a	0.0001
620	ʊ	h	0.0001
621	n	s	0.0001
622	aː	j	0.0001
623	k	r	0.0001
624	oː	-	0.0001
625	n	l	0.0001
626	-	g	0.0001
627	ɛ	ɔ	0.0001
628	uː	ɪ	0.0001
629	gʷ	g	0.0001
630	a	j	0.0001
631	-	ɛu	0.0001
632	j	s	0.0001
633	d	k	0.0001
634	kʷ	gʷ	0.0001
635	k	kʷ	0.0001
636	-	uː	0.0001
637	t	tʰ	0.0001
638	d	dː	0.0001
639	j	k	0.0001
640	ɛ	s	0.0001
641	m	ʊ	0.0001
642	b	k	0.0001
643	ʊː	ʊ	0.0001
644	h	k	0.0001
645	j	ɛ	0.0001
646	ɪ	a	0.0001
647	w	ʊː	0.0001
648	l	ɛ	0.0001
649	ɪ	n	0.0001
650	tː	tʰ	0.0001
651	ʊ	aː	0.0001
652	t	ɪ	0.0001
653	aː	ɪ	0.0001
654	oː	uː	0.0001
655	m	k	0.0001
656	l	n	0.0001
657	ɪ	ɔ	0.0001
658	p	w	0.0001
659	ɛu	j	0.0001
660	d	g	0.0001
661	ʊ	eː	0.0001
662	eːa	-	0.0001
663	t	aː	0.0001
664	f	fː	0.0001
665	sː	k	0.0001
666	aː	iː	0.0001
667	n	rː	0.0001
668	ɛ	t	0.0001
669	r	eː	0.0001
670	ɔ	r	0.0001
671	-	b	0.0001
672	eː	kʰ	0.0001
673	ɛu	iː	0.0001
674	l	m	0.0001
675	ɪ	aɪ	0.0001
676	-	lː	0.0001
677	iː	t	0.0001
678	iː	a	0.0001
679	k	aː	0.0001
680	ʊ	m	0.0001
681	ɪ	aː	0.0001
682	l	g	0.0001
683	d	z	0.0001
684	ɛ	oː	0.0001
685	g	z	0.0001
686	iː	ʊ	0.0001
687	ʊ	aʊ	0.0001
688	ɛu	a	0.0001
689	oː	aː	0.0001
690	d	l	0.0001
691	j	t	0.0001
692	h	rː	0.0001
693	n	j	0.0001
694	l	ɪ	0.0001
695	ʊ	k	0.0001
696	a	h	0.0001
697	aː	p	0.0001
698	iː	oː	0.0001
699	j	ɛu	0.0001
700	aː	zː	0.0001
701	aʊ	a	0.0001
702	d	m	0.0001
703	m	t	0.0001
704	d	sː	0.0001
705	-	p	0.0001
706	ɛu	eː	0.0001
707	aʊ	ʊ	0.0001
708	w	n	0.0001
709	ʊ	r	0.0001
710	b	ɪ	0.0001
711	dː	d	0.0001
712	d	j	0.0001
713	s	g	0.0001
714	ʊ	ŋ	0.0001
715	-	sː	0.0001
716	w	ɔ	0.0001
717	b	ɛ	0.0001
718	a	s	0.0001
719	ɪ	l	0.0001
720	y	-	0.0001
721	ɪ	b	0.0001
722	uː	a	0.0001
723	oː	ɛ	0.0001
724	lː	k	0.0001
725	w	oː	0.0001
726	ʊ	l	0.0001
727	iː	k	0.0001
728	uː	aʊ	0.0001
729	n	ɪ	0.0001
730	aː	ʊ	0.0001
731	ɛ	ɛu	0.0001
732	uː	oː	0.0001
733	kʷ	g	0.0001
734	t	sː	0.0001
735	p	r	0.0001
736	pʰ	m	0.0
737	oː	j	0.0
738	ʊ	w	0.0
739	aʊ	l	0.0
740	eː	j	0.0
741	n	ɛ	0.0
742	t	j	0.0
743	a	n	0.0
744	n	aː	0.0
745	ɪ	d	0.0
746	w	ɪ	0.0
747	n	w	0.0
748	l	ʊ	0.0
749	ɛ	g	0.0
750	w	ʊ	0.0
751	ŋ	k	0.0
752	w	f	0.0
753	aː	d	0.0
754	r	a	0.0
755	eːa	ɛ	0.0
756	k	tː	0.0
757	d	p	0.0
758	a	ɛu	0.0
759	g	ʊ	0.0
760	s	ɔ	0.0
761	ɔ	k	0.0
762	iː	m	0.0
763	g	n	0.0
764	kː	ɪ	0.0
765	eː	l	0.0
766	s	aː	0.0
767	aʊ	-	0.0
768	f	r	0.0
769	w	l	0.0
770	oː	aʊ	0.0
771	ŋ	g	0.0
772	r	sː	0.0
773	f	-	0.0
774	a	aɪ	0.0
775	g	t	0.0
776	t	oː	0.0
777	oː	r	0.0
778	eː	oː	0.0
779	y	aː	0.0
780	eː	b	0.0
781	uː	eː	0.0
782	tʰ	s	0.0
783	n	nː	0.0
784	w	ɛ	0.0
785	b	l	0.0
786	d	b	0.0
787	l	t	0.0
788	ɔ	ɪ	0.0
789	rː	t	0.0
790	j	h	0.0
791	b	m	0.0
792	t	b	0.0
793	ɛ	h	0.0
794	lː	-	0.0
795	oː	l	0.0
796	j	b	0.0
797	t	g	0.0
798	h	eː	0.0
799	aɪ	r	0.0
800	w	j	0.0
801	aː	t	0.0
802	w	d	0.0
803	ɛ	d	0.0
804	eː	k	0.0
805	w	m	0.0
806	oː	h	0.0
807	d	n	0.0
808	eː	d	0.0
809	r	g	0.0
810	ɔː	ɔ	0.0
811	lː	n	0.0
812	aɪ	kʰ	0.0
813	ɛ	l	0.0
814	iː	ɛu	0.0
815	m	sː	0.0
816	j	d	0.0
817	m	g	0.0
818	sː	g	0.0
819	ɔ	aʊ	0.0
820	g	r	0.0
821	m	kʷ	0.0
822	kʷ	ɛ	0.0
823	ɛu	ɔ	0.0
824	r	b	0.0
825	r	h	0.0
826	l	f	0.0
827	d	h	0.0
828	-	kʰ	0.0
829	d	mː	0.0
830	l	s	0.0
831	s	l	0.0
832	s	ŋ	0.0
833	ɔ	a	0.0
834	a	k	0.0
835	g	l	0.0
836	ɪ	h	0.0
837	s	ʊ	0.0
838	lː	r	0.0
839	t	ɛ	0.0
840	aː	b	0.0
841	ɪ	t	0.0
842	ɪ	m	0.0
843	ɔː	oː	0.0
844	y	ɔ	0.0
845	h	lː	0.0
846	p	ɛ	0.0
847	a	eː	0.0
848	r	ɔ	0.0
849	g	aː	0.0
850	aː	l	0.0
851	ɪ	y	0.0
852	pʰ	r	0.0
853	j	f	0.0
854	ɛu	ɪ	0.0
855	g	h	0.0
856	ɛu	h	0.0
857	y	j	0.0
858	g	m	0.0
859	l	ŋ	0.0
860	a	zː	0.0
861	rː	ɔ	0.0
862	ʊː	w	0.0
863	kʷ	kː	0.0
864	ɪ	lː	0.0
865	lː	j	0.0
866	a	iː	0.0
867	t	rː	0.0
868	y	ʊ	0.0
869	y	mː	0.0
870	fː	pʰ	0.0
871	kʷ	w	0.0
872	w	s	0.0
873	uː	r	0.0
874	pʰ	k	0.0
875	m	p	0.0
876	p	l	0.0
877	l	aː	0.0
878	n	g	0.0
879	b	g	0.0
880	oː	s	0.0
881	oː	ɪ	0.0
882	sː	n	0.0
883	ɛ	uː	0.0
884	kʰ	ŋ	0.0
885	n	ʊ	0.0
886	j	z	0.0
887	l	d	0.0
888	aɪ	h	0.0
889	g	ɛ	0.0
890	oː	t	0.0
891	g	eː	0.0
892	ɔ	aː	0.0
893	ɔ	h	0.0
894	eːa	a	0.0
895	w	g	0.0
896	ɛ	b	0.0
897	iː	y	0.0
898	j	aː	0.0
899	sː	m	0.0
900	ɔ	iː	0.0
901	rː	d	0.0
902	b	f	0.0
903	aː	g	0.0
904	ʊː	aː	0.0
905	r	lː	0.0
906	m	aː	0.0
907	m	h	0.0
908	gː	r	0.0
909	-	z	0.0
910	h	g	0.0
911	aɪ	a	0.0
912	g	d	0.0
913	aː	aʊ	0.0
914	h	ɛ	0.0
915	ɛu	m	0.0
916	sː	t	0.0
917	yː	k	0.0
918	h	j	0.0
919	iː	n	0.0
920	m	oː	0.0
921	m	ɔ	0.0
922	a	aʊ	0.0
923	w	r	0.0
924	l	p	0.0
